Event #,Fault_Timestamp,INV_power,RLC_power,Trial
10031,104,0,125,1
10057,83.8,0,125,2
10059,85.9,0,125,3
10033,98.9,125,125,1
10061,89.5,125,125,2
10062,92.7,125,125,3
10035,110.9,250,125,1
10064,98.9,250,125,2
10066,87.5,250,125,3
10037,87,-125,125,1
10039,90.1,-125,125,2
10068,83.3,-125,125,3
10042,48.4,-250,125,1
10045,44.3,-250,125,2
10047,65.1,-250,125,3
10049,51.6,0,250,1
10051,55.2,0,250,2
10070,84.4,0,250,3
10053,58.8,125,250,1
10072,80.7,125,250,2
10074,86.5,125,250,3
10054,93.3,250,250,1
10076,101,250,250,2
10078,101,250,250,3
10080,97.3,-125,250,1
10082,95.3,-125,250,2
10084,93.7,-125,250,3
10086,109.3,-250,250,1
10088,95.8,-250,250,2
10089,118.7,-250,250,3