Event,Trial,Fault_Timestamp,INV_kW,RLC_kW,Vrms_initial,Vrms_min,Vmax,Imax,max_voltage_thd,VA_below_95_time,VB_below_95_time,VC_below_95_time,VA_below_95_duration,VB_below_95_duration,VC_below_95_duration,peak_violation,VA_below_0_duration,VA_below_70_duration,VA_below_73_duration,VA_below_80_duration,VA_below_86_duration,VA_below_88_duration,VA_below_89_duration,VA_below_90_duration,VB_below_0_duration,VB_below_70_duration,VB_below_73_duration,VB_below_80_duration,VB_below_86_duration,VB_below_88_duration,VB_below_89_duration,VB_below_90_duration,VC_below_0_duration,VC_below_70_duration,VC_below_73_duration,VC_below_80_duration,VC_below_86_duration,VC_below_88_duration,VC_below_89_duration,VC_below_90_duration,class_1,class_2,class_3
10031,1,0.104,0.0,0.125,283.11,94.4,451.13,240.42,56.96,,,,0.0344,0.0615,0.0589,1,0.0,0.0167,0.0177,0.0271,0.0307,0.0313,0.0318,0.0318,0.0,0.0188,0.0005,0.038,0.0505,0.0516,0.0521,0.0583,0.0,0.0255,0.026,0.0359,0.0479,0.0495,0.0505,0.051,0,0,1
10057,2,0.0838,0.0,0.125,283.43,127.65,428.51,234.76,36.53,,,,0.0323,0.0266,0.0271,1,0.0,0.0109,0.0156,0.0182,0.0234,0.0245,0.025,0.0255,0.0,0.0094,0.0104,0.0146,0.0229,0.0234,0.024,0.0245,0.0,0.0057,0.0099,0.0161,0.0187,0.0224,0.0229,0.024,0,1,1
10059,3,0.0859,0.0,0.125,283.53,126.79,422.85,229.1,31.77,,,,0.0328,0.0276,0.0297,0,0.0,0.0109,0.0156,0.0187,0.024,0.025,0.025,0.026,0.0,0.0104,0.0115,0.0208,0.024,0.0245,0.025,0.025,0.0,0.0083,0.0135,0.0156,0.0187,0.0198,0.0229,0.0234,0,0,1
10033,1,0.0989,0.125,0.125,282.88,227.4,411.54,216.37,10.07,,,,0.0005,0.0,0.0016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
10061,2,0.0895,0.125,0.125,283.53,222.5,411.54,219.2,9.57,,,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
10062,3,0.0927,0.125,0.125,283.54,220.15,411.54,220.62,9.83,,,,0.0078,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
10035,1,0.1109,0.25,0.125,283.04,204.23,510.53,427.09,22.31,,,,0.0005,0.0255,0.025,1,0.0,0.0,0.0,0.0099,0.0161,0.0167,0.0177,0.0182,0.0,0.0,0.0,0.0031,0.0151,0.0161,0.0167,0.0214,0.0,0.0,0.0,0.0063,0.0141,0.0161,0.0167,0.0172,1,1,1
10064,2,0.0989,0.25,0.125,283.6,175.34,510.53,432.75,18.83,,,,0.0271,0.0234,0.0255,1,0.0,0.0089,0.0135,0.0161,0.0193,0.024,0.0245,0.025,0.0,0.0,0.0,0.0089,0.0151,0.0161,0.0167,0.0208,0.0,0.0,0.0,0.0062,0.0151,0.0167,0.0177,0.0182,0,1,1
10066,3,0.0875,0.25,0.125,283.74,215.07,513.36,431.34,17.89,,,,0.0214,0.0245,0.026,1,0.0,0.0,0.0,0.0,0.0089,0.013,0.013,0.0135,0.0,0.0,0.0,0.0,0.0083,0.0151,0.0156,0.0167,0.0,0.0,0.0,0.0057,0.0099,0.0146,0.0151,0.0161,1,1,1
10037,1,0.087,-0.125,0.125,282.25,0.0,410.12,219.2,669.26,,,,0.1125,0.1104,0.1083,1,0.0,0.1057,0.1083,0.1104,0.1115,0.1115,0.1115,0.112,0.0,0.1036,0.1068,0.1078,0.1089,0.1089,0.1089,0.1094,0.0,0.1042,0.1047,0.1057,0.1062,0.1068,0.1068,0.1073,0,0,0
10039,2,0.0901,-0.125,0.125,282.27,78.73,444.06,241.83,291.81,,,,0.0542,0.0474,0.051,1,0.0,0.0271,0.0313,0.0396,0.0469,0.0479,0.0484,0.049,0.0,0.0177,0.0234,0.0323,0.0396,0.0401,0.0406,0.0417,0.0,0.0297,0.0312,0.0391,0.0422,0.0438,0.0474,0.0484,0,0,1
10068,3,0.0833,-0.125,0.125,282.85,65.42,425.68,229.1,330.21,,,,0.0526,0.0484,0.0422,1,0.0,0.0328,0.0354,0.0411,0.0443,0.049,0.049,0.05,0.0,0.026,0.0286,0.0391,0.0417,0.0417,0.0422,0.0427,0.0,0.0193,0.0234,0.0302,0.0328,0.0354,0.0359,0.0396,0,0,1
10042,1,0.0484,-0.25,0.125,281.48,0.0,408.71,435.58,760.82,,,,0.112,0.1094,0.1078,1,0.0,0.1042,0.1052,0.1094,0.1104,0.1109,0.1109,0.1109,0.0,0.1005,0.101,0.1062,0.1078,0.1083,0.1083,0.1083,0.0,0.0979,0.0984,0.1031,0.1047,0.1052,0.1052,0.1057,0,0,0
10045,2,0.0443,-0.25,0.125,281.81,0.0,410.12,431.34,408.05,,,,0.1089,0.1068,0.1078,1,0.0,0.101,0.1021,0.1068,0.1078,0.1078,0.1078,0.1083,0.0,0.0984,0.099,0.1042,0.1052,0.1057,0.1057,0.1057,0.0,0.0943,0.0948,0.1005,0.1026,0.1026,0.1031,0.1036,0,0,0
10047,3,0.0650999999999999,-0.25,0.125,281.78,96.24,435.58,432.75,96.71,,,,0.0448,0.0542,0.0531,1,0.0,0.0177,0.0193,0.0312,0.0396,0.0411,0.0417,0.0417,0.0,0.0156,0.0177,0.0312,0.0396,0.0417,0.0427,0.0427,0.0,0.0276,0.0328,0.0411,0.0479,0.0495,0.05,0.05,0,0,1
10049,1,0.0516,0.0,0.25,282.51,0.0,410.12,287.09,259.8,,,,0.1083,0.113,0.1104,1,0.0,0.1036,0.1047,0.1057,0.1068,0.1068,0.1073,0.1073,0.0,0.1052,0.1057,0.1099,0.1115,0.1115,0.112,0.112,0.0,0.1026,0.1031,0.1078,0.1089,0.1089,0.1094,0.1094,0,0,0
10051,2,0.0552,0.0,0.25,282.81,83.84,411.54,436.99,61.41,,,,0.0604,0.0521,0.0547,1,0.0,0.0182,0.0198,0.0391,0.0448,0.05,0.051,0.0526,0.0,0.0177,0.0188,0.0286,0.0406,0.0422,0.0427,0.0438,0.0,0.0188,0.0224,0.0312,0.0406,0.0432,0.0443,0.049,0,0,1
10070,3,0.0844,0.0,0.25,282.8,49.77,411.54,434.16,84.72,,,,0.0766,0.0802,0.0823,1,0.0,0.0281,0.037,0.05,0.0609,0.0656,0.0661,0.0677,0.0,0.0292,0.0333,0.0516,0.0609,0.0667,0.0677,0.0687,0.0,0.0432,0.0458,0.0625,0.0672,0.0714,0.0734,0.0745,0,0,1
10053,1,0.0588,0.125,0.25,282.44,157.03,410.12,427.09,21.87,,,,0.075,0.0589,0.0755,1,0.0,0.0151,0.0219,0.0432,0.0568,0.0635,0.0646,0.0656,0.0,0.0089,0.013,0.0203,0.0401,0.0417,0.0427,0.0479,0.0,0.0161,0.0229,0.0271,0.0516,0.0573,0.0625,0.0641,0,0,1
10072,2,0.0807,0.125,0.25,283.25,157.32,411.54,431.34,17.37,,,,0.0563,0.0505,0.0604,1,0.0,0.0161,0.0188,0.026,0.038,0.0417,0.0422,0.0474,0.0,0.0151,0.0172,0.0292,0.0349,0.0391,0.0396,0.0411,0.0,0.0224,0.024,0.0271,0.0365,0.0453,0.0469,0.0479,0,0,1
10074,3,0.0865,0.125,0.25,283.01,154.71,411.54,436.99,23.29,,,,0.0557,0.0609,0.0661,1,0.0,0.0182,0.0229,0.026,0.037,0.0406,0.0427,0.0469,0.0,0.0146,0.0167,0.026,0.0396,0.0427,0.0479,0.049,0.0,0.0224,0.024,0.0276,0.0427,0.0479,0.0495,0.0552,0,0,1
10054,1,0.0933,0.25,0.25,283.07,216.21,411.54,432.75,8.59,,,,0.0328,0.0583,0.0021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0005,0.0344,0.0417,0.0,0.0,0.0,0.0,0.0,0.0146,0.0167,0.0188,1,1,1
10076,2,0.101,0.25,0.25,282.89,221.6,410.12,432.75,13.32,,,,0.0333,0.0302,0.024,0,0.0,0.0,0.0,0.0,0.0078,0.0115,0.0167,0.0182,0.0,0.0,0.0,0.0,0.0,0.0005,0.0052,0.0016,0.0,0.0,0.0,0.0,0.0,0.0031,0.0063,0.0083,1,1,1
10078,3,0.101,0.25,0.25,282.9,224.13,410.12,434.16,9.8,,,,0.0156,0.025,0.0182,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
10080,1,0.0973,-0.125,0.25,281.81,53.77,408.71,452.55,1285.58,,,,0.0589,0.0792,0.076,1,0.0,0.026,0.0307,0.0396,0.0484,0.0495,0.05,0.051,0.0,0.0422,0.0479,0.0573,0.0667,0.0677,0.0693,0.0698,0.0,0.0391,0.0464,0.0557,0.0604,0.0651,0.0656,0.0672,0,0,1
10082,2,0.0953,-0.125,0.25,281.78,0.0,408.71,347.9,714.8,,,,0.1125,0.112,0.1099,1,0.0,0.1047,0.1047,0.1057,0.1068,0.1073,0.1073,0.1078,0.0,0.1047,0.1078,0.1094,0.1104,0.1109,0.1109,0.1109,0.0,0.1057,0.1062,0.1073,0.1083,0.1083,0.1089,0.1089,0,0,0
10084,3,0.0937,-0.125,0.25,281.93,54.84,410.12,435.58,238.56,,,,0.0797,0.0677,0.0688,1,0.0,0.0427,0.0484,0.0531,0.0615,0.0635,0.0677,0.0688,0.0,0.0359,0.0401,0.049,0.0568,0.0583,0.0589,0.0594,0.0,0.0354,0.0391,0.049,0.0568,0.0589,0.0594,0.0604,0,0,1
10086,1,0.1093,-0.25,0.25,281.65,65.77,410.12,431.34,96.12,,,,0.0688,0.0693,0.0677,1,0.0,0.0349,0.0406,0.049,0.0573,0.0589,0.0599,0.0615,0.0,0.0266,0.0323,0.0469,0.0568,0.0583,0.0599,0.0604,0.0,0.0031,0.0339,0.0427,0.051,0.0526,0.0547,0.0589,0,0,1
10088,2,0.0958,-0.25,0.25,281.86,0.0,410.12,429.92,909.6,,,,0.1115,0.1099,0.112,1,0.0,0.1042,0.1078,0.1094,0.1104,0.1104,0.1109,0.1109,0.0,0.1016,0.1052,0.1068,0.1078,0.1083,0.1083,0.1089,0.0,0.1026,0.1036,0.1047,0.1062,0.1068,0.1068,0.1073,0,0,0
10089,3,0.1187,-0.25,0.25,282.11,0.0,410.12,296.98,374.17,,,,0.1068,0.1052,0.1073,1,0.0,0.0995,0.1031,0.1047,0.1052,0.1057,0.1057,0.1062,0.0,0.1005,0.101,0.1026,0.1031,0.1036,0.1036,0.1042,0.0,0.0979,0.0984,0.1,0.1016,0.1021,0.1026,0.1031,0,0,0
